Set No,Roles
set1," Data Science, Full Stack Developer, Front End Engineer,  Backend Developer, Data Scientist, Computer Vision Engineer,  ML Engineer
                                        "
set2," Cloud Computing, Ethical Hacking, Cloud Security Engineer, Network Engineer, Cryptographer (Junior), Network Analyst, Staff Engineer/IoT Engineer - .Net Framework/C#/WPF,  Azure IOT engineer (streaming data)


 "
set3," Project Management, Project Administrator  "
set4," Data Science, Frontend Developer, Frontend Engineer -UI, Graphic Designer, Data Analyst, ML Engineer, Data Engineer 


"
set5," Cloud Computing, Security Architect, Information & Cyber Security Analyst Consultant, Network Analyst, IOT System Administration, IOT Infrastructure Architect, IOT Embedded System Designer "
set6," Project Management, Digital Project Manager "
set7," Data Science, Web Experience Manager, Web Experience Manager, Software Engineer, Analytics Manager, Data Science Project Manager,   LEAD / MANAGER - DATA SCIENCE AND BI"
set8," Cloud Computing, Information Security Manager, IT Infrastructure Manager, Network Engineer, Product Manager-IOT, IOT Sales Director - Linux"
set9," Project Management, Project Manager, Project Lead, Operations Manager  "
set10," Data Science, Technology Consulting, Computer Vision and Machine Learning Researcher, Machine Learning-Consultant, Data Science Consultant  "
set11," Cloud Computing, SAP Security Consultant, Network Consultant,  IOT Solution Consultant, Technical Consultant: IoT & Edge Computing"
set12," Project Management, Market Research Project Manager"
