Set No,Job Roles
set1,Librarian
set2,"Consultant , Business Analyst , Logistics manager , Chief financial officer, Counselor , Athlete , Psychologist , Philosopher ,  Politician , Internal auditor, Leader , Economist , Middle, Higher School Teacher and Professors , Stock Broker , Criminologist"
set3,Physical Therapist
set4,Social Worker
set5,Medical
set6,Pharmacist
set7,Mechanic
set8,Nature photographer
set9,Archeologist
set10,Actor / Actress
set11,Primary Teacher
set12,Poet
set13,Language Teacher
set14,Computer programmer
set15,Historian
set16,"Physician , Militry , Para Militry , Police Force "
set17,"Geologist , Pilot"
set18,Astronomer
set19,Interior Decorator
set20,Manager
set21,Marine Biologist
set22,Editor
set23,"Fashion Designer , Veterinarian"
set24,Dancer
set25,Sound editor
set26,"Para Medical , Pre Primary Teacher ,Broadcaster"
set27,"Receptionist , Music teacher"
set28,"Marketing , Journalist ,Audiologist , Sales Representative"
set29,"Writer ,Research analyst , Computer analyst"
set30,"Business manager , Financial Advisor , Company secretary , Lawyer"
set31,"Actuary , Chartered Accountant , Database designer , Banking"
set32,"Banking , Mathematician"
set33,"Graphic Designer , Engineer , Anthropologist"
set34,Physicist
set35,Recording engineer
set36,"Artist , Technician"
