Set No,Roles
set1,"Network Engineer, Cryptographer (Junior), Network Analyst"
set2,"Full Stack Developer, Frontend Engineer, Backend Developer"
set3,"Data Scientist, Computer Vision Engineer, ML Engineer, Computer Vision and Machine Learning Researcher"
set4,Network Analyst
set5,"Frontend Developer, Frontend Engineer, Graphic Designer"
set6,"Data Analyst, Data Engineer, Computer Vision Engineer"
set7,"IT Infrastructure Manager, Network Engineer"
set8,"Web Experience Manager, Web Development Manager, Software Engineer, Full Stack Developer, Frontend Engineer"
set9,"Analytics Manager, Data Science Project Manager, LEAD / MANAGER - DATA SCIENCE AND BI, ML Engineer, Machine Learning-Consultant"
set10,"Network Consultant, Network Analyst"
set11,Backend Developer 
set12,"Computer Vision and Machine Learning Researcher, Data Science Consultant, Data Scientist, ML Engineer, Data Analyst"
