label,pattern
skills,Adobe Systems Adobe Acrobat
skills,AdSense Tracker
skills,Atlassian JIRA
skills,Blackbaud The Raisers Edge
skills,ComputerEase Construction Accounting
skills,Database reporting software
skills,Databox
skills,Email software
skills,Enterprise resource planning ERP software
skills,Exact Software Macola ES Labor Performance
skills,Extensible markup language XML
skills,Fund accounting software
skills,Graphic presentation software
skills,Halogen e360
skills,Halogen ePraisal
skills,HCSS HeavyBid
skills,HCSS HeavyJob
skills,Human resource information system HRIS
skills,Infor SSA Human Capital Management
skills,Intuit QuickBooks
skills,Listserv software
skills,Lyris HQ Web-Analytics Solution
skills,Microsoft Access
skills,Microsoft Dynamics AX
skills,Microsoft Dynamics GP
skills,Microsoft Excel
skills,Microsoft FRx
skills,Microsoft Office
skills,Microsoft Outlook
skills,Microsoft PowerPoint
skills,Microsoft Project
skills,Microsoft Publisher
skills,Microsoft SharePoint
skills,Microsoft Word
skills,Nedstat Sitestat
skills,Norchard Solutions Succession Wizard
skills,Online advertising reporting software
skills,Oracle E-Business Suite
skills,Oracle PeopleSoft
skills,Oracle Siebel Server Sync
skills,PHP: Hypertext Preprocessor
skills,Relational database management software
skills,Sage 50 Accounting
skills,SAP
skills,Structured query language SQL
skills,Web browser software
skills,Scheduling software
skills,Teleconferencing software
skills,ActionWare
skills,Adobe Systems Adobe Photoshop
skills,ADP Workforce Now
skills,AMG Teleran SalesInSync
skills,Apache Hadoop
skills,Apple Final Cut Pro
skills,Apple macOS
skills,Autodesk AutoCAD
skills,Avidian Technologies Prophet
skills,Blackboard
skills,CA Erwin Data Modeler
skills,Calendar and scheduling software
skills,Citrix
skills,CNC Mastercam
skills,Computer aided manufacturing CAM software
skills,Confluence
skills,Customer information control system CICS
skills,Data entry software
skills,Datawatch Monarch
skills,Deacom ERP
skills,Delphi Technology
skills,Dynamic Energy Systems MedAct
skills,Facebook
skills,FileMaker Pro
skills,Geographic information system GIS software
skills,Google AdWords
skills,Google Analytics
skills,Google Docs
skills,Google Drive
skills,HEAT Software GoldMine
skills,Human resource management software HRMS
skills,Human resources software
skills,IBM Cognos Impromptu
skills,IBM Domino
skills,IBM InfoSphere DataStage
skills,IBM Notes
skills,IBM Power Systems software
skills,IBM SPSS Statistics
skills,InnQuest Software roomMaster
skills,Inventory management software
skills,Job control language JCL
skills,Kronos Workforce Payroll
skills,Kronos Workforce Timekeeper
skills,LexisNexis
skills,LinkedIn
skills,LSA Visual Easy Lean
skills,Marketo Marketing Automation
skills,Maximizer Software Maximizer Enterprise
skills,McAfee
skills,Microsoft Dynamics
skills,Microsoft Exchange Server
skills,Microsoft FrontPage
skills,Microsoft Internet Explorer
skills,Microsoft SQL Server
skills,Microsoft Visio
skills,Microsoft Visual Basic
skills,Microsoft Windows
skills,MicroStrategy
skills,Minitab
skills,Mozilla Firefox
skills,Mozilla Thunderbird
skills,Nagios
skills,NetSuite ERP
skills,NetSuite NetCRM
skills,Oracle Business Intelligence Enterprise Edition
skills,Oracle E-Business Suite Financials
skills,Oracle Eloqua
skills,Oracle Fusion Applications
skills,Oracle Hyperion
skills,Oracle JD Edwards EnterpriseOne
skills,Oracle PeopleSoft Financials
skills,Oracle Primavera Enterprise Project Portfolio Management
skills,Oracle Solaris
skills,Oracle Taleo
skills,Payroll software
skills,Personnel scheduling software
skills,Point of sale POS software
skills,PostgreSQL
skills,Puppet
skills,Qlik Tech QlikView
skills,R
skills,Realization Streamliner
skills,Sage ACT!
skills,Sage MAS 500
skills,Salesforce software
skills,Salesforce.com Salesforce CRM
skills,SAP Business Objects
skills,SAP Crystal Reports
skills,SAS
skills,Savant MobileRanger
skills,SeaMonkey
skills,Shell script
skills,Siemens NX for Manufacturing
skills,Software on Sailboats Desktop Sales Manager
skills,Splunk Enterprise
skills,StataCorp Stata
skills,Sugar CRM
skills,Supervisory control and data acquisition SCADA software
skills,Symantec
skills,Tableau
skills,Tax software
skills,Teradata Database
skills,The MathWorks MATLAB
skills,Vanguard Software Vanguard Sales Manager
skills,Veritas NetBackup
skills,vtiger CRM
skills,Yardi
skills,YouTube
skills,Adobe Systems Adobe FrameMaker
skills,Antenna House
skills,Apple iWork Keynote
skills,Apple Numbers for Mac
skills,Apple Pages for Mac
skills,Cisco AnyConnect
skills,Cisco Systems WebEx
skills,Citrix GoToMeeting
skills,Corel WordPerfect Office Suite
skills,GoodReader
skills,iAnnotate
skills,Legislative Automative Workflow System LAWS
skills,Mapping software
skills,Meeting scheduling software
skills,Penultimate
skills,PTC Arbortext Editor
skills,Rocket/Folio NXT
skills,Windows Media Player
skills,XMetaL Author
skills,Actuate BIRT
skills,Adobe Systems Adobe AfterEffects
skills,Adobe Systems Adobe Creative Suite
skills,Adobe Systems Adobe Dreamweaver
skills,Adobe Systems Adobe Flash Player
skills,Adobe Systems Adobe Illustrator
skills,Adobe Systems Adobe InDesign
skills,Adobe Systems Adobe PageMaker
skills,Adobe Systems Adobe Premiere Pro
skills,AdRelevance
skills,Apple iMovie
skills,Avid Media Composer
skills,Brainworks
skills,Business analysis software
skills,Constant Contact
skills,Customer relationship management CRM software
skills,Data visualization software
skills,Data warehousing software
skills,Database software
skills,Experience in Software Webplanner
skills,Google DoubleClick
skills,IBM Lotus Notes
skills,JavaScript
skills,MarketSharp
skills,Microsoft Dynamics Marketing
skills,PaloAlto Advertising Plan Pro
skills,Quark
skills,Relex Weibull
skills,Structure query language SQL
skills,Webtrends software
skills,Adobe Systems Adobe Experience Manager (AEM)
skills,Adobe Systems Adobe Reader
skills,Computer aided software engineering CASE tools
skills,Drupal
skills,Hootsuite
skills,HubSpot software
skills,Hypertext markup language HTML
skills,Inventory tracking software
skills,MailChimp
skills,Pinterest
skills,Social media software
skills,Software development tools
skills,Twitter
skills,Vimeo
skills,WebTrends Analytics
skills,WordPress
skills,Adobe Systems Adobe ActionScript
skills,Adobe Systems Adobe Creative Cloud
skills,MS SQL Server
skills,Adobe Systems Adobe Fireworks
skills,Adobe Systems Adobe Flash
skills,AEC Software FastTrack
skills,Apache Cassandra
skills,Apache Hive
skills,Apache Pig
skills,Apache Solr
skills,Armand Morin MultiTrack Generator
skills,AWS Redshift
skills,Cascading Style Sheets CSS
skills,ClearEDGE
skills,Dynamic hypertext markup language DHTML
skills,Elasticsearch
skills,Extensible HyperText Markup Language XHTML
skills,GitHub
skills,LAMP Stack
skills,Microsoft Azure
skills,Microsoft Visual Basic Scripting Edition VBScript
skills,MySQL
skills,NoSQL
skills,Specflow
skills,MSTest
skills,FlaUI
skills,Oracle Beehive
skills,Oracle
skills,Oracle JavaServer Pages JSP
skills,Oracle PL/SQL
skills,Python
skills,QAD Marketing Automation
skills,Ruby
skills,Ruby on Rails
skills,Sage SalesLogix
skills,Swift
skills,Bentley MicroStation
skills,Contact management software
skills,Delphi Discovery
skills,Eclipse IDE
skills,Eden Sales Manager
skills,Inventory software
skills,SAP BusinessObjects Crystal Reports
skills,Workforce management software
skills,Adobe Systems Adobe Distiller
skills,Apple iDVD
skills,Blackbaud eTapestry
skills,Google Gmail
skills,Instagram PeopleMap
skills,Novell GroupWise
skills,QuarkXPress
skills,Slack
skills,SmugMug Flickr
skills,zkipster
skills,ADP Enterprise HRMS
skills,Medical procedure coding software
skills,Microsoft Windows XP
skills,PracticeWorks Systems Kodak WINOMS CS
skills,Sage 300 Construction and Real Estate
skills,Sage MAS 200 ERP
skills,ACT! Premium
skills,Adobe Systems Adobe Flex
skills,Advanced business application programming ABAP
skills,Alpha Four
skills,Apache HTTP Server
skills,Apache Maven
skills,Apache Tomcat
skills,Apple iWork Numbers
skills,Apple iWork Pages
skills,Assembler
skills,Backbone.js
skills,Billing software
skills,Borland Paradox
skills,C++
skills,Cisco Systems WAN Manager
skills,Common business oriented language COBOL
skills,Corel Office Suite
skills,Dartware InterMapper
skills,Embarcadero Delphi
skills,Enterprise JavaBeans
skills,File transfer protocol FTP software
skills,Firewall software
skills,Help desk software
skills,Hewlett Packard HP-UX
skills,IBM iSeries Access
skills,IBM WebSphere
skills,Infor ERP Baan
skills,Integrated development environment IDE software
skills,K2 Business Process Automation
skills,KornShell
skills,LAN software
skills,Langlais Computer Consultants CalMan
skills,Linux
skills,Linux-based email software
skills,Mac HelpMate
skills,Microsoft .NET Framework
skills,Microsoft Active Server Pages ASP
skills,Microsoft Business Contact Manager
skills,Microsoft Dynamics CRM
skills,Microsoft Dynamics NAV
skills,Microsoft Entourage
skills,Microsoft Front Page
skills,Microsoft Office SharePoint Server MOSS
skills,Microsoft SQL Server Reporting Services SSRS
skills,Microsoft Visual FoxPro
skills,Microsoft Visual Studio
skills,Microsoft Windows Server
skills,Mobile wireless network infrastructure software
skills,MongoDB
skills,Netscape Navigator
skills,Node.js
skills,Objective C
skills,Oracle DBMS
skills,Oracle iPlanet Web Server
skills,Oracle Java
skills,Oracle Primavera Systems
skills,Oracle WebLogic Server
skills,Pegasus software
skills,Perforce Helix software
skills,Performance Solutions Technology ManagePro
skills,Pilgrim Quality Solutions SmartSolve
skills,Practical extraction and reporting language Perl
skills,Progress OpenEdge ABL
skills,Progress OpenEdge Application Server
skills,Progress OpenEdge Fathom Replication software
skills,Progress Sonic ESB
skills,Progress WebSpeed Workshop
skills,QUALCOMM Eudora
skills,Red Hat Enterprise Linux
skills,Red Hat WildFly
skills,Samba
skills,SolarWinds
skills,SOX COBIT
skills,Spring Framework
skills,Symantec Veritas File System
skills,Symantec Veritas Volume Manager
skills,Telnet programs software
skills,TKSoftware
skills,Unified modeling language UML
skills,UNIX
skills,Virtual private networking VPN software
skills,Zephyr EXTRA! Terminal Emulation
skills,"ADERANT Expert Back Office, Powered by Keystone"
skills,ADP software
skills,Automatic Data Processing PC payroll for windows PCPW
skills,Corel QuattroPro
skills,Deltek
skills,Exact Software Macola ES
skills,Hyperion Enterprise
skills,Hyperion Solutions System 9 Planning
skills,IBM Lotus 1-2-3
skills,Infor ERP SyteLine
skills,Job costing software
skills,Microsoft Dynamics SL
skills,MYOB Premier Accounting Small Business Suite
skills,Oracle Hyperion Planning
skills,Sage Fixed Asset Solution FAS
skills,Sage MIP Fund Accounting
skills,Accounts receivable software
skills,ARES Corporation PRISM Project Estimator
skills,Credit management software
skills,Healthcare common procedure coding system HCPCS
skills,Internet browser software
