label,pattern
university name,Indian Institute of Science Bangalore
university name,Jawaharlal Nehru University
university name,pune university
university name,Banaras Hindu University
university name,Jawaharlal Nehru Centre for Advanced Scientific Research
university name,Jadavpur University
university name,Anna University
university name,University of Hyderabad
university name,University of Delhi
university name,Amrita Vishwa Vidyapeetham
university name,Savitribai Phule Pune University
university name,Aligarh Muslim University
university name,Jamia Millia Islamia
university name,Birla Institute of Technology & Science -Pilani
university name,Vellore Institute of Technology
university name,Indian Agricultural Research Institute
university name,Calcutta University
university name,Tamil Nadu Agricultural University
university name,Manipal Academy of Higher Education-Manipal
university name,Visva Bharati
university name,Siksha`O` Anusandhan University
university name,Homi Bhabha National Institute
university name,Bharath Institute of Higher Education & Research
university name,Osmania University
university name,"Punjab Agricultural University, Ludhiana"
university name,Institute of Chemical Technology
university name,Jamia Hamdard
university name,Gauhati University
university name,Bharathiar University
university name,Kerala University
university name,Tezpur University
university name,TATA Institute of Social Sciences
university name,Shanmugha Arts Science Technology & Research Academy (SASTRA)
university name,Panjab University
university name,S.R.M Institute of Science and Technology
university name,Indian Institute of Space Science and Technology
university name,Mysore University
university name,Pondicherry University
university name,Tamil Nadu Veterinary & Animal Sciences University
university name,Sri Ramachandra University
university name,Anand Agricultural University
university name,University of Madras
university name,Sri Venkateswara University
university name,Andhra University
university name,Sathyabama Institute of Science and Technology
university name,Jagadguru Sri Shivarathreeshwara University
university name,Thapar University
university name,Dr. D. Y. Patil Vidyapeeth Pune
university name,North Eastern Hill University
university name,Kalinga Institute of Industrial Technology
university name,Guru Angad Dev Veterinary & Animal Sciences University
university name,Dr. Y.S.Parmar University of Horticulture & Forestry
university name,AMITY University
university name,Banasthali Vidyapith
university name,Bharati Vidyapeeth
university name,Saveetha Institute of Medical and Technical Sciences
university name,Annamalai University
university name,Calicut University
university name,Mizoram University
university name,Kurukshetra University
university name,Shiv Nadar University
university name,Symbiosis International University
university name,KLE Academy of Higher Education and Research
university name,University of Jammu
university name,Goa University-Goa
university name,Vel Tech Rangarajan Dr.Sagunthala R&D Institute of Science and Technology
university name,Kalyani University
university name,Mahatma Gandhi Unversity
university name,Rajasthan University of Veterinary & Animal Sciences
university name,Sri Sathya Sai Institute of Higher Learning
university name,Meenakshi Academy of Higher Education and Research
university name,Karunya Institute of Technology and Sciences-Coimbatore
university name,Dayalbagh Educational Institute
university name,University of Kashmir
university name,Dibrugarh University
university name,Nirma University
university name,Rajiv Gandhi University
university name,Madurai Kamraj University
university name,Sri Venkateswara Veterinary University
university name,Rajasthan University
university name,Guru Nanak Dev University
university name,Jaypee Institute of Information Technology
university name,Guru Gobind Singh Indraprastha University
university name,Sri Balaji Vidyapeeth Mahatma Gandhi Medical College Campus
university name,NITTE University
university name,Periyar University
university name,Cochin University of Science and Technology
university name,Vidyasagar University
university name,Bharathidasan University
university name,Gandhi Institute of Technology and Management (GITAM)
university name,Karpagam Academy of Higher Education
university name,The Gandhigram Rural Institute - Deemed University
university name,Assam University-Silchar
university name,Jaypee University of Information Technology-Solan
university name,PES University
university name,University of Allahabad
university name,Sri Krishnadevaraya University
university name,Alagappa University
university name,Narsee Monjee Institute of Management Studies -Mumbai
university name,Jawaharlal Nehru Technological University
university name,B.S. Abdur Rahman Institute of Science and Technology
university name,Indian Institute of Science
university name,Manipal Academy of Higher Education
university name,King George`s Medical University
university name,Birla Institute of Technology & Science
university name,Siksha `O` Anusandhan
university name,Thapar Institute of Engineering and Technology
university name,G. B. Pant Universtiy of Agriculture and Technology
university name,Mahatma Gandhi University
